复活之战斗在第三帝国 　　　　世界上再没有比在碧蓝的天空里自由自在的飞翔更享受的事情了。
铁血神剑 　　　　青云山坐落在龙腾大陆华夏国舞阳郡境内，高耸入云，即使是青天白日的时候，山上也是云雾缭绕，故有“青云”之名。
我的机械章鱼 　　　　PS：新书上传，请大家多多支持，追梦拜谢~~
科技大道 　　我有一个梦想：用科技战胜一切。
重生之破烂王 　　2016年10月9号上午9点，农历9月初9，星期天，帝都莫医院的太平间里，刚刚车祸去世的欧夜，又活了过来。因为是刚刚去世，还没有来得及放冷藏室里，还只是放在太平间的停尸台上。
天下野望录 　　　　依依的晨风拂动着窈窕的晨雾，令高大的汉白玉门楼时而露出一角。
奇异魔兽捕捉日志 　　李维感觉肚子很难受。
怪兽大狂飙 　　雷川醒来后，发现自己又“穿越”了。
宋道 　　　　【楔子】
武道拳仙 　　金秋十月，华夏大地的大部分地区依旧热浪滚滚，但北方边境的无尽密林之地却是寒意渐生，正是纳凉消暑的好去处，漠北市，这座北方的一座小城一年中大都是一片安静祥和，但在此时也是大批游人涌进，一下子增添了不少生气。
篡宋灭元 　　　　程越心情是有点郁闷的。
回到过去当歌神 　　“我这个，我这个算是穿越还是重生了？”
宠物小精灵之冰羽泽 　　　　[[[CP|W:355|H:387|A:C|U:http://file1.qidian.com/chapters/20151/25/3277612635577759122488750219797.jpg]]]
海贼王之草帽铸造师 　　　　一架空中客从跑道上呼啸着冲上天空，强大的推背感令所有的人都躺在自己的背椅上。
文娱高手 　　　　这是一个阳光灿烂的日子，在那正午高悬的太阳照射下，影子都显得格外的短，似乎这世间所有的阴影和黑暗都将被消融。
我给神仙当主播 　　“老四，还准备直播呢？你那直播间到现在最多的时候人数没有超过十个过，现在挣了一块钱了吗？”
最强运动员 　　再过两天新学期就将开学了，因此家住外地的风全，便提前回到了沈阳体育学院的宿舍。
荷花重生记 　　2018年，冬。
韩娱之时代巨星 　　1989年6月某日，旧金山一家私人家院中我们的男主李承基诞生了。一位男子兴奋地将已经睡着了的婴儿抱到妻子的床边。夫妻两人关系非常好，男子李健宇是韩国大宇集团的股东手中拥有大宇集团6.7%的股份以及三星4.2%的股份，而女子崔雪儿是韩国SK集团的董事长的女儿拥有SK集团6%的股份。由于男子是大宇集团美国分部代表所以夫妻二人便来到美国洛杉矶，而我们的男主李承基小盆友，现在在他的婴儿床上呼呼大睡呢！
三国之世纪天下 　　2200年，虚拟技术已经达到了巅峰时期，这种技术在人们的生活中随处可见，当然游戏也不例外。
末世化学家 　　　　这一日，叶素雪如同往常一样在自习室看书的时候，忽然有一个陌生男生闯了进来。
重生之金融大亨 　　　　序
我和尸体有个约会 　　线人一般是经过警方遴选，自愿与警方合作的非警务人员，也是一群极其隐蔽的群体。
军火大皇帝 　　徐杨，男，现年二十三岁，三流大学毕业，在这个有钱走遍天下，无钱寸步难行的社会里，如果他的父母是家财万贯的大商人，或许他还可以做一名潇潇洒洒的富二代，但可惜他没那么好的命，家世平凡的他无可奈何地只能在社会底层拼搏。
清潭洞甲56号 　　——“墨非定律”当你越讨厌一个人时，他就会无时无刻不出现在你的面前；而当你想念一个人时，翻遍地球都找不到他。——
至道剑神 　　肖落费力的张开了双眼，身为一个剑灵原本是不存在睁眼这个动作的，所以这很奇怪。
重生乐神 　　京云大学，是京城一所重点大学，又到了一年一度的毕业季，人头攒动，读研深造的、出国留学的、找工作的，以及回家的。
穿越秦朝之我是始皇帝 　　　　“嬴政你太卑鄙了，你快给我起来。”一个尖锐的女人声音响起，她用手拉了拉睡在旁边的男人道。
科学修真时代 　　“揭谛揭谛，波罗揭谛，波罗僧揭谛，菩提萨婆诃！”
影视世界冒险记 　　“老板，这个玉佩多少钱？”王波拿着一块约莫两指宽大小的上面雕刻着猛虎下山图样的暗黄色的玉佩问道。
逆天小地主 　　　　沿着深南大道漫无目的的走着，李牧羊的心情沉重到了极点，眼里更有着泪花闪烁，想起这两天经历的打击，李牧羊的心情就仿佛被人在胸口上捅了两刀，疼的滴血。
超极品系统 　　“哎……又到双十一血拼的时候了。”
走出盘丝洞 　　峦头高耸，地脉遥长。峦头高耸接云烟，地脉遥长通海岳。门近石桥，九曲九湾流水顾；园栽桃李，千株千颗斗穠华。藤薜挂悬三五树，芝兰香散万千花。远观洞府欺蓬岛，近睹山林压太华。正是妖仙寻隐处，更无邻舍独成家。
灾厄魔盒 　　厚重的乌云积聚在监狱的上空，隔离墙内，全副武装的警卫来回巡视着。
全能之门 　　今天是一个美好的日子，阳光明媚，李浩觉得应该适合约会，于是他准备下班去找自己的女朋友，然而一个电话打来之后他的幻想将会彻底破灭。
疯狂解读器 　　阳春三月，草长莺飞。
星际之亡灵帝国 　　　　“各位来宾，下午好。”无处不在的电子喇叭中传来了优雅而动听的声音：“今天是展览馆最后一次开放，明日起，这里的几件古物就要移送至联邦大博物馆收藏，请……”
传奇法师闯漫威 　　剧烈的摇晃，让昏睡中的苏正迅速清醒。“靠，地震了吗？”搞不清楚的苏正立马从地上爬了起来。
绝对主角 　　说一下加更，俺老书完结立刻就开的《主角》，所以稿子几乎没有，日常还有许多杂事，媳妇也快生了，如今几乎只能维持每天的更新量，前两天少更了一章，所以存了大约1万字的稿子，但俺现在已经身负重债，按照老书的加更规则，琴舞盟两个盟主，亏欠20章，久见的一个宗师，熵若的一个掌门，新书还有彼岸、老酒的两个护法，小T的一舵，亏欠大约7章，这就已经三十多章了~0~好歹都是老书友，可以理解我，知道我码不出来，所以这些暂时可以拖欠着。那么对于新书友呢，我说一下吧，依旧和老书一样，舵主加一更，盟主加10更。
科学家日记 　　　　“王大夫，我……我还有救吗？”我静静的躺着，两眼无神的看着天花板，表情充满纠结和迷茫。
眯眯眼的圣职者 　　阿拉德大陆，贝尔玛尔公国靠近精灵国度格兰之森的边陲小村，巨木村。因围绕一棵巨大到令人惊叹的树建造而得名。
超自然异闻录 　　前言
英雄联盟之无敌升级 　　正在电脑前玩着英雄联盟的程锋突然感觉脑中一阵天旋地转，还以为自己因为超神太过激动呢，可是等到他的视线恢复正常之后，却发现根本不是那么回事......
王者的英雄联盟 　　　　“松队，那我们就先回去了。”
少年大将军 　　东风夜放花千树，更吹落、星如雨。宝马雕车香满路。
超级魔能帝国 　　魔都，复旦大学医学院
重生之日本大作家 　　　　平行世界公元2015年，入秋，RB东京。
我是曾小贤 　　照着镜子，林琪不敢置信的看着里面的自己，这就是自己？自己成了曾小贤了。
洪荒玉皇大帝 　　盘古开天，身化万物而身死，清气上升，浊气下降，山川河流，草木植被，尽皆逐一形成。
科技主宰 　　“老子定要混出名堂！”
御坂的主神猎杀之旅 　　　　“呜——这里是哪里？御坂御坂为什么在这里？”
网游之幽冥魔尊 　　“红尘若梦，一梦十年么？亦或是真的从十年后穿越回来呢？”李季微仰着头站在窗边，脸色复杂莫名，呆呆地看着远方远方陷入迷蒙雨雾中的巍峨高楼，乳白色的悬浮车灯光芒汇聚成蜿蜒曲折不见首尾的长龙盘绕在迷蒙灰暗的天地中，似守护，似觊觎。
武林第一神捕 　　“不！”
梦幻剑游录 　　江南一中，虽然名为江南一中，其实只是一个不大不小的高中学校，完全没有‘江南’二字的风范与实力。
死斗无限 　　　　正月的午夜里寒风刺骨，但是每家每户的窗户却透着温暖的灯光。今天是大年夜，团聚的人们在吃完丰盛的年夜饭之后，聚集在电视机前观看春节联欢晚会，欢笑声，炮竹声是今夜的主旋律。
末世之虐杀原形 　　　　太阳高照，在12月份当中阳光明媚的晴朗天气并不多见，张墨走进了一家网吧之中。
都市神级强者 　　“老子今生东躲西藏，只为平淡度过一生，这点愿望老天也不满足，遭人暗算，死于雷劫之下！若有来世，非得潇洒走一遭！”
极限微神 　　池塘边的榕树上知了在声声叫着夏天，操场边的秋千上只有蝴蝶停在上面，黑板上老师的粉笔还在吱吱嘎嘎写个不停。
我的超神空间 　　　　为了避免打广告之人进入！进群需发已推荐本书，收藏的图！还有起点ＩＤ。。。
列王大陆之苏阳传 　　啪啪啪...
世界兑换系统 　　　　这个世界有许许多多的无解之迷，比如鬼怪，比如．．．穿越？如果带着系统穿越呢？这个世界每天都有人穿越到各支种奇奇怪怪的世界，每个穿越者都带着无比牛掰系统或技能，大家王八气，各种小弟，各路美女纷纷上来倒贴，好不过瘾．
电影大师 　　“早上好，同学们，新的星期开始了，欢迎回到哈佛-西湖初中部，这里是萨珀斯坦剧院……”
末世有天堂 　　午夜，失恋的郝仁一个人在马路上走着。昏暗的路灯让他的心绪更加糟糕。这时迎面走来三个不良青年，拦住了他的去路。
超级造化炉 　　炎炎烈日，青山绿水，此地真是一个旅游的好地方。只是人来人往，却又让人心中多了一种烦躁。最近这些年，旅游景区的人真是越来越多了。
都市之重返人间 　　华夏历2019年初夏，江阳省。
末日交警 　　“嗤！”
重生哈利波特 　　夜，已来临。
在哈利波特里的无厘头生活 　　奥朗-斯科特一直觉得自己很幸运。作为一个一辈子都没有缺过钱，拥有和睦富有的家庭，开明的父母，知心的朋友兄弟的人生赢家，自己有一天忽然醒来发现熟悉的一切全部不在，才明白上帝总是公平的，拥有的太多并不是那么好的一件事。
狂暴攻略系统 　　第一章：狂暴攻略系统
特勤舰队 　　　　知道吗？宇宙哦，是立体的。所以，战斗的时候，不能只看到前后左右，上上下下也需要注意的说。————六千万大小姐关于星空常识的解说。
重生大玩家 　　　　“不朽的先祖之灵啊，聆听我的呼唤，让从属于我的守护灵降临世间吧！”
位面旅途之寻找百合 　　　　[[[CP|W:767|H:608|A:L|U:http://file1.qidian.com/chapters/201210/27/2436922634869599165081326836814.jpg]]]
南北大唐帝国 　　“浪里个浪，浪里个浪......”
洪荒之孔宣传 　　龙汉大劫已经过去了一个元会了，经过一个元会的地质变动，此时的洪荒大陆，已经由盘古开天时方圆九亿九千九百九十万里，缩减为方圆四亿九千九百九十万里的不规则大陆，四周被海洋所包围。
西游之重铸天庭 　　“老天爷啊，你都把我坑成这样了，作为补偿，这次抽奖就让我中一次吧……”
西游碧波潭 　　命运玄奇，福祸无常。
萌妹子居然是拳神 　　　　【卷首语：大家好，当你翻开这本小说第一页的时候，如果看到了本句话，那就是极有可能是正品；因为这是本小说上传至网络1年半后修改过的，非正品网是不大可能同步更新的。起点的官发，不仅仅区别在这段话，很多章节大家可自行比较。下面正文开始：】
玄门大千 　　“你我皆凡人，生在人世间。终日奔波苦，一刻不得闲……”
清末之超级运输系统 　　第一章必须活着
奋斗不息在末世 　　“人类的基因组中，由23对染色体组成，其中包括22对体染色体、1条X染色体和1条Y染色体。以及，三万多个基因，三十亿多对碱基序列。即便以现在2035年的科技水平，也不可能测出每一个基因里面，包含的遗传信息准确度。”
网游之全职士兵 　　　　第一章和美女‘同居’
鱼商 　　小山村的“桑拿天”比以往来的更早一些，潮湿闷热的空气浸湿了整个山村，山村里面的一切似乎都因为这难以忍受的闷热而变得沉寂，然而树梢上的知了并没有因“桑拿”而消极怠工，不知疲倦的滋滋的叫个不停。
火影之水遁最强 　　　　[[[CP|W:250|H:190|A:L|U:http://file2.qidian.com/chapters/20148/31/3275944635450405112729952627420.jpg]]]凌乱的头发，大大的眼睛，裸露的身体~~
热血三国之血脉传承 　　“都什么年代了，你还玩这个。”看着屏幕上的三国群英传5，室友鄙视道。
1899大时代 　　公元1899年11月27日，河北。
重生之我是一只鼠 　　“唧唧。。”
海王祭 　　　　命运是终结，也是开始。
最强神将系统 　　楚河目瞪口呆，表情像是刚从精神病院做完康复训练出来，又被平底锅照脸拍了一下。
网游之血神逆天 　　传说猫的心跳，可以使人平静。
凡世歌 　　楔子.
九阳神诀 　　真武世界，蜉丘国，唐门！
最强附身系统 　　荒古大陆，天剑门，生死擂台之上。
乡村大富豪 　　“年轻人，出去后好好做人，多用脑子少用拳头，这个世界拼的可不是谁拳头硬！”
永恒圣王 　　平阳镇，属于苍狼城管辖的诸多小镇之一，同属大齐国。
云州物语 　　　　云州物语
世界第一校长 　　　　“复旦大学今年被国际文联评选为四星级学府，这是我们华夏的第七所四星学府，也是亚洲第二十所四星大学，是我们华夏的骄傲。”
重生之都市大神 　　当水晶被推掉的那一刻，张宇怒吼着砸在键盘上“靠，又是坑，一群小学生，连团都不会。”
女鬼诱饵 　　“嘭嘭嘭……”
猛鬼悬赏令 　　天地不仁，以万物为刍狗。唤醒邪恶，以邪恶为坐骑。天地法则合我意则顺之，不合我意则逆之，此谓鬼道矣。 然天地之间尔虞我诈，唯利益永恒不变！发布猛鬼悬赏令，让您梦想成真！见证奇迹的梦幻之门即将为您开启，您准备好了吗？
重生之都市弄潮 　　　　阳光照射在床上憔悴的身体，王瑞的身体不听使唤，感觉生命渐渐离自己远去。难道我的一生就此就要完结了吗？回想起这一生的种种过往，感觉自己做人真的很失败，王瑞是一个职业散户，典型的一个宅男，整天在家盯着他那可怜的几只股票，他的最大心愿就是像某些大神一样可以通过股票来改变自己的生活，让全家人过上幸福的日子。
无量钱途 　　　　乔直，是麦轲的表弟，
三界茶楼 　　“老头子啊，您老不能怪我，给我留下这样一座破败的茶馆，一天就是些老头子在这里喝茶，一块钱一碗，这特么的才几天时间我就亏了几大百了啊。好歹我也是一个堂堂的大学生，守着这茶馆能有啥前途？刚好，有开发商看中这里了，要不，咱们就把这茶馆给拆了呗……”
我是要成为高富帅的男人 　　张彻的运气不好，高考那年生了大病，发挥不好上了二本，考后住院志愿又报失败，病后身体虚弱还不允许复读，他无奈流落专科。
带着飞船去大隋 　　虽然泰山有天下第一山的美称、黄山也称作天下第一奇山，但华山却是最难爬的。
我在海贼世界有套房 　　“听说了吗？”
我是键盘侠 　　夜已经深了。宿舍外已经是一片漆黑。唯有路灯还有点微弱的光。
名门 　　　　夜色深沉，弯月如钩，一颗银色的星星孤独地挂在西天。
最终信仰 　　　　****……
超级合成系统 　　　　“哎呦！”走在校园的楚天霖惨叫了一声，随后他也是愤怒的看向了四周，结果却发现大家各自做着自己的事情，好像没有疑似真凶，随后，他看向了那个砸中自己的东西，一个碧绿色的玉炉，看上去挺值钱的样子。
最后那只女鬼留给我 　　　　今天是光棍节，只是又被无数宅男当成愚人节来过了。
仙门归来在乡村 　　云雾缭绕的的山峰之中，好似仙境，建筑物犹如巨兽般卧伏在地，金色庄严大殿里，一众身穿白衣的女子盈盈而立。
吞天邪帝 　　　　“麒儿！你可千万不要吓娘啊！你要是有个三长两短你让娘该怎么办啊？”悲戚的哭声，让吴翰麒从昏迷中渐渐的醒来，他慢慢睁开眼睛，眼前古色生香的房间，陌生而又熟悉的房间，囔囔自语道：“这是哪？我不是自爆灵力死了吗？”
柯南之以吾之名 　　　　奥地利金色维也纳大厅
汉时关之龙腾万里 　　彩霞漫天，金波满海。
五灵仙缘 　　　　夜色笼罩在大地上，夜空不知何时点缀了一些星辰，闪烁着微弱的光芒，将星光洒在大地上。
部落帝国 　　初秋夜里凉爽的小风，看着哔哩哔哩的原始技术小哥的钻木取火的视频，姚然不屑的在留言区写到，原始社会多好，有野果有野味，取什么火，直接吃撒西米自然风味，无污染、无残留，空气清新人间天堂。
恶魔阵营 　　“新生”研制第九个月，研发组例会……
韩娱之皇冠铁卫 　　“这里就是tara的公司吗？”凌屹穿着印有Tara四个字母的衣服。抬起头望着眼前这栋大楼神情充满了向往“如果能看见tara就好了……”
两界大亨 　　地球，公元2019年10月31日。
鹰扬三国 　　　　公元2022年，洛阳市东郊，隐龙秘密军事基地。
德意志惊雷 　　西藏，这里也许应该是最接近天堂的地方了！
重生之杀手至尊 　　夕阳西下。
神级奖励系统 　　“叮！”
二次元穿越者 　　时针转动着，代表了每一秒的流失，静静地，滴滴答答。
来自昆仑的男人 　　　　这是一座天然的高原平湖，东西长约12000米，南北宽约5000米，湖水最深度达107米，湖水粼粼，碧绿如染，清澈透亮。水鸟云集，或翔于湖面，或戏于水中，金风送爽，瑞气蒸腾，一派祥和景象，湖畔水草丰美，野牦牛、野驴、棕熊、黄羊、藏羚羊等野生动物出没，气象万千。湖旁有一平台，平台上三三两两的人群，不少人扛着三脚架在拍摄着这如今在别的地方已经很难见到的蓝天碧水。
大动漫 　　　　对于陆羽而言，今天是他人生当中最苦逼但是也是最幸运的一天。因为，陆羽看到了龙。
火鸦道君 　　“八月节，阴气渐重，露凝而白也。”
万法天罗 　　一缕缕风抚慰过黑如星瀑的长发，棱角分明的脸庞，足以让那些女人都感到嫉妒的皮肤，宽肥的白大褂下，暴露出精悍修长的大腿，一双银色的瞳孔俯视着周围糜烂的草丛。
火影之重生长门 　　雨隐之村，一间石屋内。
重修上一世 　　冰冷的枪口顶在眉心的感觉不是很好。
巫术力量 　　瓢泼大雨，阴暗的乌云没有边界，下方是一片山林。
转世双修路 　　　　陆飞做了一个梦，梦中他被两位身穿白衣黑袍头戴高帽的追赶。
征伐四海 　　“嗯~”长长的呻吟过后，卧榻之上，一个星眸剑目的英俊男子缓缓睁开眼睛，脸色有些苍白，浑身无力的挣扎着坐起来，虚弱的说道：“头好痛，这是哪里？我怎么会在这？”轻柔脑袋。
万界永仙 　　　　大隋开元三年，天变降临。
英雄联盟之最强主播 　　　　“卧槽！这下完蛋了！”冯乐揉了揉惺忪的睡眼，看着窗外天空上悬挂的太阳，迷瞪了一会，然后一拍大腿惊声说道。
苍天霸血 　　　　多谢各位新老书友。
吉诺弯刀 　　　　这是一个很长的故事。孩子们，也许你们会不愿意听吧。在这个做什么都是慌慌张张、急急忙忙的年代里，长故事已经越来越不得人心了。可我还是想说这个故事。我保证它是精彩的。如果你们肯一直听下去，应该不会感到失望。我深知时光宝贵，一去不回。我不会用没有价值的东西来消耗你们的青春韶光。
萌萌皇帝打江山 　　秦慕安穿越了，这会儿他正盯着桌子上那套古代茶具看得出神。这不是重点，重点是当他确定自己穿越后，发现自己竟然完全没有这个身体的记忆。
日在火影 　　那株樱花正在灿烂的飘零。
宋医 　　　　绵绵的细雨已经下了一整天了。
虎之翼 　　“我誓死不受你恩惠！”
记忆贩卖师 　　2055年，随着科技的发展，在大脑记忆的领域，已经达到一个全新的领域，利用仪器能取出人脑中的记忆，同时也能植入记忆，因而孕育而生一种职业：记忆贩卖师。
最强龙宠 　　林修觉得自己很郁闷，本来是一名刚毕业的大学生，和每个普通的学生一样，毕业后都忙如找寻好的工作。
天庭临时拆迁员 　　“主人，起床了，你三大爷来了，主人，起床了，你三大爷来了……”
游戏领主要革命 　　　　“牧师小队开圣光加护，用圣言术拉仇恨！”
月老志 　　　　明钦是一只小狐狸。
跑到异界开工厂 　　“慢点不用急，小店货源充足不用担心买不到东西，排好队一个个来。”
头顶青天 　　　　——诸天万界之中，有无数天地。
最后一位仙 　　楚凡表示很苦逼！
斗罗大陆之幻月空角兽 　　寂灭的黑与淡蓝光雾交织，如同浩瀚的宇宙一般，蓝色光雾像一条条星河飘荡其中。
至尊天印 　　　　方立天迷迷糊糊的躺在床上，一阵随风而来的嬉笑嘲讽声把他从沉睡中惊醒。
宅的海上从军日记 　　　　重要登场人物介绍(简要)(截止至第二十五章)
大明土豪 　　　　【新书上架，求推荐、收藏】
无敌教师 　　“垃圾，必须下地狱！”
战神变 　　　　“天呐，快看那边……那是什么东西？”
女总裁的贴身杀手 　　国际航班，从帝拜飞往华国东海市，头等舱内，
魔兽之鱼人城市攻略 　　贫瘠之地的棘齿海湾，一艘多桅帆船缓缓驶向棘齿城，这是著名的少女之爱号。
永无安宁 　　　　59：58
西游计之猴王逆天 　　“什么？这里是花果山？你们在逗我吧？”
我为纣王之傲啸封神 　　　　张紫星是一位中国科学家，现年三十岁，这个年龄在科技高度发达、人类平均寿命大大延长的二十四世纪，只能算是刚步入少年时代，然而这位“少年”天才科学家所获得的成就连许多知名的前辈们都望尘莫及，尤其是在反物质领域的研究成果，被科学界誉为“具有跨时代意义的突破”。
玄天至尊 　　神州自古风雨多，千古奈若何？神州大地历经神魔争霸，腥风血雨的洗礼终于天命归于人族。人族代有圣贤出，带领弱小的人族走向强大。自三皇五帝治世以后，大地以民为主，但皇朝兴替尽是战乱争杀。直至公元三百零七年，北方为五胡入侵，匈奴、羌、氐、羯、鲜卑各据一方，汉人天下风雨飘摇，王朝朝生夕灭，将神州拖入前所未有的混乱时期，史称五胡十六国！
明星黑洞 　　农历，三月初七。
亦真男非假女 　　“你输了！赶快！利索点！”
网游之极品boss 　　2136年！
诛仙之执剑青云 　　巍巍青云山，悠悠洪川水。
立道庭 　　　　“老君曰：大道无形，生育天地；大道无情，运行日月；大道无名，长养万物；吾不知其名，强名曰道。夫道者：有清有浊，有动有静；天清地浊，天动地静；男清女浊，男动女静；降本流末，而生万物。清者，浊之源，动者，静之基；人能常清静，天地悉皆归。”
星空之最强主宰 　　长白山，山脉连绵雄壮，山顶白雪皑皑。
网游之率土之滨 　　“嗖嗖”的风声，将沉睡的公孙信唤醒。
都市之天降正义 　　有人说，大学是一座象牙塔，学子们在象牙塔中无忧无虑的成长。然而，午夜时分只穿着短裤赤.裸着上半身光着脚躲在宿舍周围草丛里的苏叶会告诉你，这是在放屁！
请叫我威廉三世 　　　　在青岛沉没的奥地利巡洋舰-凯瑟琳·伊丽莎白皇后号：
今天开始做女生 　　职高最后一个学期了，我和林豪因为听说高三住宿生允许住在校外所以在里学校不远的一个城中村里租了一层平房。
乡村异能狂徒 　　陈浩宇醒来的时候，发现自己躺在村医务室的病床上，正打着葡萄糖点滴。
港娱之打造芒果王朝 　　夜色如墨。
西游诛魔记 　　“丑，真丑!!!”
变身文娱女神 　　“天爱，臭妮子你要死啦，又偷抽我香烟。”
步步惊唐 　　川西，位于大唐与吐蕃边境的四姑娘山。
女神教父 　　2016年7月28日傍晚，雨天，天-朝辽省DL市，金海国际酒店顶层总统套房内。
熊霸天下 　　　　我的嘴里不住喘着粗气，两条腿就像灌了铅一样的沉重，怎么也迈不开步子。
超级厨神 　　2015年盛夏。
仙域无双 　　“千年积雪为年松，直上人间第一峰”。长白山风光秀丽，景色迷人，是盛夏旅游光观的好去处。
玄门都市 　　“啊~”周德一声惊呼从梦境中醒来，汗水已经湿透了枕头，半醒间依然惊魂未定的还顾着四周，深夜的屋中的月光余辉萦绕照射着周德惊恐的面庞。
奥特曼之黑暗无限 　　青古，一个刚刚毕业的大学生，性别男，没多少钱，也没什么能力，唯一的长处就是每天100个、100个深蹲、100个仰卧起坐，再跑个10公里而锻炼出来的，强壮的身体，其实也强壮不到哪里去，只是比一般人强一点罢了...
无尽位面穿梭者 　　你觉得你的世界里有分歧吗？有反复吗？每个生命都有其固定的轨道，周泽也是。然而，他总是忍不住好奇，会不会有那么一天，一次机缘巧合，就会改变他整个人生的方向。
精武梦 　　“噗吱”一声，随着刺耳的刹车声划破天际，一辆黑色的特警防爆车突然急速地制动下来，由于形势过猛，这辆特警防爆车如同一条黑色的巨蟒般，拖着一条长长的尾巴在马路正中划出一条弧形的黑色轮胎痕。特警防爆车内的所有警员先是一阵惊骇，待抬头朝车窗外望去时，原来是一辆大型卡车从路旁突然冲出马路，径直地横跨在了道路中央。坐在副驾驶座的一名特警人员忽然感到一丝的不太对劲，为何卡车司机一直没有下车察看这起突发事故？难道司机不知道他的横冲直撞差点酿成一场车祸吗？就算他真的什么也都不知道，为何还不立即将卡车转向开离路面？难道……有人想要劫车！他不敢多想，连忙让后座的一名特警队员下车去察看究竟。显然，这名特警人员是特警队里的特警队长。
当宅男遇上修真界 　　“傻瓜，你为什么那么傻？我骗了你啊！你怎么能为我去死呢，不值得，我要你活着，好好活着。”
历史的尘埃 　　　　刀锋在颈中勒过，手中的躯体猛地绷紧抽搐，发出和细小的体积不相称的颤动，似乎要把其中蕴涵的点滴生命全部迸发出来。随着温热腥臭的液体逐渐滴落口中，指间的颤动也逐渐衰竭，最后消散了。阿萨竭力压榨着山鼠，毫不在意胃容物也一起被挤了出来。直到最后一滴体液缓慢地滴下，阿萨才丢下已捏得扭曲变形了的山鼠，伸出舌头将嘴边的血舔入口中。
海贼王之修罗索隆 　　东海附近的一处孤岛丛林中，一棵苍天大树的树梢上站着一个人，一个奇怪的男人！
阴阳师的自我修养 　　“靠！”当抽卡页面再次出现1张SR卡面时，一名盘腿坐在床铺上的青年猛地将手机狠狠砸在了枕头上，“这特么都五十连抽了！一张SSR没见着！”
超神猎人 　　　　南华市。
谍海重重 　　“你开枪打死他，不打死他，你就是内鬼。”
重生之地上之星 　　这一章可以迅速帮你了解本书的类型与内容，避免浪费时间。
漫威之战无止境 　　　　在一栋现代英式建筑中，一个戴着眼镜，红色着装，一头披肩红发的女人正在做着演讲。
妖神九戒 　　初玄灵界，以龙凤为尊。
位面转生 　　入眼是一片荒芜的黄土地，近处的枯草和远处的残阳互相映照，少年的身躯躺在一堆横七竖八的尸体中间，鲜血浸透了他玄色的武士服，将一大片土地都浸成了淡红色。
隋唐之乱世召唤 　　　　公元20XX年。
魔兽领主 　　　　连续制作九根魔法杖，整整三天没有休息后，罗德里格斯很累，累得只想倒在地上蒙头大睡。但想想在寒风中等他回家的妻子，想起自己那可爱的小天使贝丝，他强打精神，精心制作最后一根魔法杖。
极品妖孽少年 　　小镇的一家妇产医院里，强光让育婴室里的婴儿很不舒服，他们中最大的只有三天，因为在这里观察三天后，他们将回到母亲的身边。
我是科技教父 　　“科技改变着我们的生活，让生活变得更美好，所以，科技永远是第一生产力，而未来也将是科技的天下……”
纨绔才子 　　　　
极品古武高手 　　月华初上。
我意逍遥 　　　　1979年的夏夜，N市城南一间屋子内，一名十二三岁左右的小男孩平躺在床上，手心向上，双腿与肩并齐，默默地深呼吸，努力让自己浑身放松，便扭地扭来摆去好几次，他总算摆了个让自己比较满意的姿式，于是开始想像意守丹田。
星际之我欲兵狂 　　天空中布满了模样狰狞的怪兽，那双肉翼在不停地扇动，嘴角发出难听的嘶鸣。
战国之上杉幕府 　　　　在难波田广义等人离开后，朝定就一直抱着直子没动过，直到天亮。这个时候，不少伊达家家臣已经听说了本丸里好像出事了。
韩娱之开车 　　清晨的汉城公园
战神 　　银河历3411年，天狼星系。
柯南之光暗交织 　　世界上有光明就会有黑暗，有黑暗就会有光明，光明与黑暗互相交错，相互辉映，缺一不可！
仙狙 　　2025年6月底，黄昏，查克纳共和国首都，汉京大学燕子湖畔。
重生西游之最强天兵 　　九霄天上。
因为你，我认识了韩娱 　　　　贴，吧文，位于肆，虐韩娱吧内，鸡大的新书。超级好看。坐等更新中。
演武之路 　　青阳城，青阳学堂一个偏僻的角落，一间略微破败的小屋里，一张堆满稿纸的破旧书桌上，路凡正埋头演算，额头上布满冷汗。
都市超品小仙农 　　“李小山，你就不要痴心妄想了，睁开你的狗眼看看，就你这熊样，我石宏生的宝贝女儿，怎么可能会嫁给你？”
新大明帝国 　　　　大明崇祯三百一十八年八月九日，安不纳岛。
妖世纵横 　　天空一片湛蓝，没有日却是一片透亮。
武林高手在娱乐圈 　　“跪下！”
奥特曼末世录 　　烈日炎炎，惨白的阳光下，是无尽的废墟。
三国召唤之英雄集结 　　初平元年（公元190年夏），并州上党郡壶关。壶口关位于上党郡东面，修建在绵延的太行山上，壶口关在历史上的地位极其重要，它不仅是历来兵家必争的要地，而且也是东西交通的必经之道。在古代交通工具不发达的情况下，其地位便益加突出，久享“冀晋通衢“的盛誉。所谓“古称险要，固畿南一大关键“的说法和史载“车不得方轨，骑不能成列“的羊肠一线之险，便是就此而言。太行山由北向南迤逦而来，层峦叠岭，几无间断，平均海拔在1500米以上，到了这里山势更高。由于太行山为褶皱断块山，东麓有大断层切过，因此东坡特别陡峻，如同秦岭北坡一样，难以攀登，成为晋冀之间交通的大阻。好在太行山内部也有许多断裂带，一些沿断层谷发育的河流，由西向东，穿过山脊，注入华北平原，它们为太行山东西两方交往提供了天然孔道。著名的“壶口关“就是这样一条孔道。
